City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
185,Bendigo,AU,76.86,clear sky,-36.7667,144.2833,The Hotel Shamrock
187,Owando,CG,70.32,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
188,Praia,CV,72.14,few clouds,14.9215,-23.5087,LT Aparthotel
189,Hambantota,LK,81.81,overcast clouds,6.1241,81.1185,Bungalow 63
190,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
191,Angoche,MZ,77.79,clear sky,-16.2325,39.9086,Guest House HESADA
193,Vao,NC,77.22,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
198,Inirida,CO,73.06,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
201,Arraial Do Cabo,BR,70.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
202,Caravelas,BR,72.01,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
203,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
205,Kudahuvadhoo,MV,82.51,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
206,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
207,Manzanillo,CU,72.39,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
212,Vangaindrano,MG,76.41,light rain,-23.35,47.6,Hotel Fanilo
213,Hervey Bay,AU,86.11,clear sky,-25.2986,152.8535,Shelly Bay Resort
219,Dingle,PH,81.48,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
221,Sao Geraldo Do Araguaia,BR,72.5,overcast clouds,-6.4006,-48.555,Hotel Por do Sol
223,Ipixuna,BR,76.95,moderate rain,-1.7625,-48.8043,Casa da Oscarina
224,Basco,PH,72.66,broken clouds,20.4487,121.9702,Nathaniel's Lodge
226,Celestun,MX,76.14,overcast clouds,20.8667,-90.4,Posada Lilia
228,Kahului,US,73.42,light rain,20.8947,-156.47,Maui Seaside Hotel
230,Farrukhnagar,IN,74.91,overcast clouds,17.0778,78.2011,Musthafa Five Star Kiranam
241,Quatre Cocos,MU,82.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
243,Matara,LK,83.39,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
249,Kieta,PG,83.98,light rain,-6.2167,155.6333,Uruna Bay Retreat
251,Kusti,SD,76.84,clear sky,13.1629,32.6635,فندق الكوباري - Kobari Hotel
253,Hobyo,SO,80.06,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
255,Ewa Beach,US,70.68,broken clouds,21.3156,-158.0072,Uncle Junior Robert
257,Farafangana,MG,77.34,light rain,-22.8167,47.8333,Miarina
261,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
268,Clarence Town,AU,71.98,overcast clouds,-32.5833,151.7833,River Downs Cottage
270,Nelson Bay,AU,72.1,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
271,San Policarpo,PH,79.61,overcast clouds,12.1791,125.5072,Agapita M. Nicart
274,Dabou,CI,82.2,overcast clouds,5.3256,-4.3769,Résidence N'Da
280,Sao Felix Do Xingu,BR,71.56,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
282,Sijunjung,ID,85.19,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
285,Alugan,PH,79.34,overcast clouds,12.2188,125.4808,JM Lodge
291,Alta Floresta,BR,70.95,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
293,Mangrol,IN,74.59,few clouds,21.1167,70.1167,Hotel The Royal Honours
299,Isangel,VU,87.91,broken clouds,-19.55,169.2667,Tanna Lodge
305,Sinnamary,GF,76.46,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
306,Payakumbuh,ID,82.47,overcast clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
307,Kavieng,PG,84.76,broken clouds,-2.5744,150.7967,Nusa Island Retreat
312,Lar,IN,73.71,broken clouds,26.2039,83.9717,Ovaiskarni ward Lar
318,Sao Gabriel Da Cachoeira,BR,72.77,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
322,Inverell,AU,84.22,light rain,-29.7833,151.1167,Sapphire City Motor Inn
325,Kavaratti,IN,81.3,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
326,Luanda,AO,76.37,light rain,-8.8368,13.2343,Hotel Fórum
328,Kpandu,GH,76.19,overcast clouds,6.9954,0.2931,Emo House
329,Monte Alegre,BR,74.34,moderate rain,-2.0078,-54.0692,Hotel Shekinah
330,Itarema,BR,80.19,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
334,Karwar,IN,79.43,broken clouds,14.8,74.1333,Netalco Connects
335,Manakara,MG,77.36,light rain,-22.1333,48.0167,La Residence Manakara
336,Eyl,SO,75.09,clear sky,7.9803,49.8164,Amiin Hotel
338,Simoes,BR,77.52,overcast clouds,-7.5989,-40.8178,Hotel Ponto Certo
339,Mae Sot,TH,78.75,few clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
341,Ahuimanu,US,70.45,broken clouds,21.4447,-157.8378,Paradise Bay Resort
342,Ixtapa,MX,77.23,few clouds,20.7,-105.2,Hotel Plaza Providencia
343,Mahajanga,MG,80.53,clear sky,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
346,Sao Jose Da Coroa Grande,BR,77.83,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
350,Buala,SB,83.84,light rain,-8.145,159.5921,Maringe Lagoon Lodge
358,Lilongwe,MW,70.0,clear sky,-13.9669,33.7873,Spendwise furnished apartments.
360,Eruwa,NG,74.17,overcast clouds,7.5333,3.4167,Yinka Hostel
361,Camopi,GF,71.1,overcast clouds,3.1655,-52.3158,La pousada
366,Atambua,ID,79.77,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
368,Gulbarga,IN,76.1,overcast clouds,17.3333,76.8333,Kamat Hotel
375,Ormara,PK,72.25,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
377,Nago,JP,70.23,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
378,Kalabo,ZM,70.93,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
384,Kirakira,SB,83.88,overcast clouds,-10.4544,161.9205,SanBiz Lodge
385,Inhambane,MZ,77.63,broken clouds,-23.865,35.3833,Oceano
387,Kailua,US,70.74,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
390,Noumea,NC,84.0,light rain,-22.2763,166.4572,Hôtel Le Lagon
391,Abaetetuba,BR,77.04,light rain,-1.7181,-48.8825,Hotel Joanayna
392,Mangan,IN,71.13,broken clouds,27.5167,88.5333,Hotel Mout View
393,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
401,Vanimo,PG,83.16,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
402,Mogadishu,SO,80.06,few clouds,2.0371,45.3438,Hotel Juba
404,Fare,PF,81.39,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
